"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\.idea\caches\deviceStreaming.xml", "XML", 0, 0, 0, 362, 0, 0, 362
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\.idea\mental_health_nodejs.iml", "XML", 0, 0, 0, 9, 0, 0, 9
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\.idea\misc.xml", "XML", 0, 0, 0, 5, 0, 0, 5
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 8
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 6
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\adapters\controllers\meditation_classes_controller.js", "JavaScript", 0, 13, 0, 0, 0, 2, 15
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\adapters\controllers\meditation_controller.js", "JavaScript", 0, 27, 0, 0, 9, 4, 40
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\adapters\controllers\song_controller.js", "JavaScript", 0, 13, 0, 0, 0, 3, 16
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\adapters\routes\meditation_classes_routes.js", "JavaScript", 0, 5, 0, 0, 0, 5, 10
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\adapters\routes\meditation_routes.js", "JavaScript", 0, 6, 0, 0, 0, 4, 10
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\adapters\routes\songs_routes.js", "JavaScript", 0, 5, 0, 0, 0, 5, 10
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\app.js", "JavaScript", 0, 16, 0, 0, 11, 1, 28
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\application\interfaces\quotes_repository.js", "JavaScript", 0, 9, 0, 0, 4, 2, 15
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\application\interfaces\use_case_interface.js", "JavaScript", 0, 6, 0, 0, 2, 2, 10
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\application\use-cases\get_advice_by_mood.js", "JavaScript", 0, 13, 0, 0, 0, 4, 17
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\application\use-cases\get_daily_quotes.js", "JavaScript", 0, 13, 0, 0, 3, 4, 20
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\application\use-cases\get_meditation_class.js", "JavaScript", 0, 23, 0, 0, 8, 3, 34
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\application\use-cases\get_songs.js", "JavaScript", 0, 21, 0, 0, 8, 3, 32
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\domain\entities\meditation.js", "JavaScript", 0, 6, 0, 0, 1, 2, 9
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\domain\entities\meditation_class.js", "JavaScript", 0, 24, 0, 0, 0, 2, 26
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\domain\entities\song.js", "JavaScript", 0, 20, 0, 0, 1, 2, 23
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\infrastructure\db\index.js", "JavaScript", 0, 13, 0, 0, 5, 2, 20
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\infrastructure\db\query\meditation_query.js", "JavaScript", 0, 6, 0, 0, 3, 3, 12
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\infrastructure\db\query\song_query.js", "JavaScript", 0, 6, 0, 0, 3, 3, 12
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\infrastructure\gemini\gemini_service.js", "JavaScript", 0, 32, 0, 0, 15, 5, 52
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\package-lock.json", "JSON", 1342, 0, 0, 0, 0, 1, 1343
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\package.json", "JSON", 22, 0, 0, 0, 0, 1, 23
"c:\Users\victor\AndroidStudioProjects\mental_health_nodejs\readme.md", "Markdown", 0, 0, 7, 0, 0, 5, 12
"Total", "-", 1364, 277, 7, 390, 73, 68, 2179